index,file_change_id,hash,filename,old_path,new_path,change_type,num_lines_added,num_lines_deleted,nloc,complexity,token_count,programming_language,cwe_id
2,26196960132021,2abdf14620f146857dc8e3ffd2b6a754884c331d,testZRPythonExpr.py,src/Products/PageTemplates/tests/testZRPythonExpr.py,src/Products/PageTemplates/tests/testZRPythonExpr.py,ModificationType.MODIFY,12,0,49.0,7.0,336.0,Python,CWE-79
3,170282817712520,603b0a12881c90a072a7a65e32d47ed898ce37cb,Image.py,src/OFS/Image.py,src/OFS/Image.py,ModificationType.MODIFY,97,0,804.0,186.0,4913.0,Python,CWE-79
4,69763427128006,603b0a12881c90a072a7a65e32d47ed898ce37cb,testFileAndImage.py,src/OFS/tests/testFileAndImage.py,src/OFS/tests/testFileAndImage.py,ModificationType.MODIFY,56,0,390.0,57.0,3174.0,Python,CWE-79
5,113584013927359,7a0a9d94555502278534dedcf2d75e9fccce8c3d,reviewtags.py,reviewboard/reviews/templatetags/reviewtags.py,reviewboard/reviews/templatetags/reviewtags.py,ModificationType.MODIFY,3,2,324,86,2107,Python,CWE-79
6,102320544719971,ae3535169af804352517b7fea94a42a1c9c4b762,test_views.py,django/contrib/auth/tests/test_views.py,django/contrib/auth/tests/test_views.py,ModificationType.MODIFY,6,2,603.0,84.0,4523.0,Python,CWE-79
7,93671967852868,ae3535169af804352517b7fea94a42a1c9c4b762,http.py,django/utils/http.py,django/utils/http.py,ModificationType.MODIFY,4,3,141.0,46.0,1090.0,Python,CWE-79
8,109156312905416,cbe6d5568f4f5053ed7228ca3c3d0cce77cf9560,widgets.py,django/contrib/admin/widgets.py,django/contrib/admin/widgets.py,ModificationType.MODIFY,2,2,269.0,70.0,2072.0,Python,CWE-79
9,230439473845432,cbe6d5568f4f5053ed7228ca3c3d0cce77cf9560,tests.py,tests/admin_widgets/tests.py,tests/admin_widgets/tests.py,ModificationType.MODIFY,13,7,662.0,73.0,6177.0,Python,CWE-79
10,197343824896952,c5544d289233f501917e25970c03ed444abbd4f0,http.py,django/utils/http.py,django/utils/http.py,ModificationType.MODIFY,6,2,154.0,57.0,1162.0,Python,CWE-79
11,16314207178376,c5544d289233f501917e25970c03ed444abbd4f0,test_http.py,tests/utils_tests/test_http.py,tests/utils_tests/test_http.py,ModificationType.MODIFY,12,0,169.0,25.0,1195.0,Python,CWE-79
12,216602474604154,32a7b713468161282f2ea01d5e2faff980d924cd,base.py,horizon/tables/base.py,horizon/tables/base.py,ModificationType.MODIFY,3,1,1188,260,5978,Python,CWE-79
13,157863915724363,32a7b713468161282f2ea01d5e2faff980d924cd,tables.py,openstack_dashboard/dashboards/admin/groups/tables.py,openstack_dashboard/dashboards/admin/groups/tables.py,ModificationType.MODIFY,2,1,144,19,1073,Python,CWE-79
14,184038523976762,32a7b713468161282f2ea01d5e2faff980d924cd,tables.py,openstack_dashboard/dashboards/admin/users/tables.py,openstack_dashboard/dashboards/admin/users/tables.py,ModificationType.MODIFY,3,1,107,24,758,Python,CWE-79
15,219193380478949,32a7b713468161282f2ea01d5e2faff980d924cd,tables.py,openstack_dashboard/dashboards/project/stacks/tables.py,openstack_dashboard/dashboards/project/stacks/tables.py,ModificationType.MODIFY,7,2,148,15,946,Python,CWE-79
16,75903626207561,32a7b713468161282f2ea01d5e2faff980d924cd,tabs.py,openstack_dashboard/dashboards/project/stacks/tabs.py,openstack_dashboard/dashboards/project/stacks/tabs.py,ModificationType.MODIFY,6,0,87,9,561,Python,CWE-79
17,253530192973140,ba908ae88d5925f4f6783eb234cc4ea95017472b,tables.py,openstack_dashboard/dashboards/admin/aggregates/tables.py,openstack_dashboard/dashboards/admin/aggregates/tables.py,ModificationType.MODIFY,7,3,95,18,660,Python,CWE-79
18,38660185216031,876e3662ff6b78cc6241338c15e3a0cb49edf4e2,readers.py,askbot/views/readers.py,askbot/views/readers.py,ModificationType.MODIFY,13,5,484.0,65.0,3081.0,Python,CWE-79
19,206832491924478,a676a86b6b7a5737d4da4f59f71e037406f88d29,functions.py,askbot/utils/functions.py,askbot/utils/functions.py,ModificationType.MODIFY,2,1,142.0,49.0,968.0,Python,CWE-79
20,149972587706866,a676a86b6b7a5737d4da4f59f71e037406f88d29,commands.py,askbot/views/commands.py,askbot/views/commands.py,ModificationType.MODIFY,1,1,1154.0,211.0,7689.0,Python,CWE-79
1,41392023575730,1f8456bf1f908ea46012537d52bd7e752a532c91,Expressions.py,src/Products/PageTemplates/Expressions.py,src/Products/PageTemplates/Expressions.py,ModificationType.MODIFY,9,0,300.0,72.0,1758.0,Python,CWE-22
2,91057964484351,1f8456bf1f908ea46012537d52bd7e752a532c91,expression.py,src/Products/PageTemplates/expression.py,src/Products/PageTemplates/expression.py,ModificationType.MODIFY,10,1,162.0,28.0,930.0,Python,CWE-22
3,172291335808578,1f8456bf1f908ea46012537d52bd7e752a532c91,testChameleonTalesExpressions.py,src/Products/PageTemplates/tests/testChameleonTalesExpressions.py,src/Products/PageTemplates/tests/testChameleonTalesExpressions.py,ModificationType.MODIFY,7,0,16.0,3.0,87.0,Python,CWE-22
4,230700390120032,1f8456bf1f908ea46012537d52bd7e752a532c91,testExpressions.py,src/Products/PageTemplates/tests/testExpressions.py,src/Products/PageTemplates/tests/testExpressions.py,ModificationType.MODIFY,20,1,258.0,55.0,1808.0,Python,CWE-22
5,233002146630175,1f8456bf1f908ea46012537d52bd7e752a532c91,testHTMLTests.py,src/Products/PageTemplates/tests/testHTMLTests.py,src/Products/PageTemplates/tests/testHTMLTests.py,ModificationType.MODIFY,25,0,159.0,37.0,1143.0,Python,CWE-22
6,85745603176731,1d897910139e2c0b11984fc9b78c1da1365bec21,Expressions.py,src/Products/PageTemplates/Expressions.py,src/Products/PageTemplates/Expressions.py,ModificationType.MODIFY,29,9,309.0,73.0,1798.0,Python,CWE-22
7,126471526590253,1d897910139e2c0b11984fc9b78c1da1365bec21,expression.py,src/Products/PageTemplates/expression.py,src/Products/PageTemplates/expression.py,ModificationType.MODIFY,35,9,174.0,30.0,981.0,Python,CWE-22
8,123032769818537,1d897910139e2c0b11984fc9b78c1da1365bec21,testExpressions.py,src/Products/PageTemplates/tests/testExpressions.py,src/Products/PageTemplates/tests/testExpressions.py,ModificationType.MODIFY,3,2,259.0,55.0,1824.0,Python,CWE-22
9,233395277973582,1d897910139e2c0b11984fc9b78c1da1365bec21,testHTMLTests.py,src/Products/PageTemplates/tests/testHTMLTests.py,src/Products/PageTemplates/tests/testHTMLTests.py,ModificationType.MODIFY,44,1,186.0,38.0,1296.0,Python,CWE-22
10,42665876670768,ad3241929ea00569c74505ed002208ce360c667e,s3.py,nova/image/s3.py,nova/image/s3.py,ModificationType.MODIFY,12,1,292.0,52.0,1993.0,Python,CWE-22
11,191655659830269,ad3241929ea00569c74505ed002208ce360c667e,test_s3.py,nova/tests/image/test_s3.py,nova/tests/image/test_s3.py,ModificationType.MODIFY,10,0,109.0,11.0,568.0,Python,CWE-22
12,193220387615765,2427d4a99bed35baefd8f17ba422cb7aae8dcca7,test_virt.py,nova/tests/test_virt.py,nova/tests/test_virt.py,ModificationType.MODIFY,20,0,74.0,5.0,462.0,Python,CWE-22
13,132813494207412,2427d4a99bed35baefd8f17ba422cb7aae8dcca7,api.py,nova/virt/disk/api.py,nova/virt/disk/api.py,ModificationType.MODIFY,46,25,279.0,68.0,1989.0,Python,CWE-22
14,153305892134421,80d90307b07b3703428ecbb7c8bb468e28a9ae6d,verify.py,salt/utils/verify.py,salt/utils/verify.py,ModificationType.MODIFY,4,11,420,141,2650,Python,CWE-22
15,207425663205918,80d90307b07b3703428ecbb7c8bb468e28a9ae6d,test_verify.py,tests/unit/utils/test_verify.py,tests/unit/utils/test_verify.py,ModificationType.MODIFY,10,0,193,23,1079,Python,CWE-22
